TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz: -54, FN:        1, T3: 1, off= 5, ncc:1, bscc:7, info: 3c  0  4  0 
TAG: state:CCCH_SCAN, itype: BCCH    dB:-33, Hz: -54, FN:        5, T3: 5, off= 5, ncc:1, bscc:7, info: 59  6 1a  0 80 20  8  2  0 80  0  0  0  0  0  0  0  2  0 ff  8  0  0 
TAG: state:FCCH_SCAN, itype: BCCHEXT dB:-33, Hz: -54, FN:        9, T3: 9, off= 5, ncc:1, bscc:7, info:  3 2a 26  1 58 49 34 3c f4 87 a5 43 2e af ae fe 51 a9 3c 4d  9 a8 ae 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:       11, T3:11, off= 5, ncc:1, bscc:7, info: 3c  0 2c  1 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:       15, T3:15, off= 5, ncc:1, bscc:7, info: 5b 31 94 fe d3 88 fc 87 69 e2 a4 75 87 61 49 b1 ca 2e f7  3  6 c3 78 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:       19, T3:19, off= 5, ncc:1, bscc:7, info:  b f1 57 8b be 13 38 d8 f8 34 2c 55 6e 81 e3  1 7a c0 c5 3f c0 d7 28 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:       21, T3:21, off= 5, ncc:1, bscc:7, info: 3c  0 55  0 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:       25, T3:25, off= 5, ncc:1, bscc:7, info: 53 98 bd 7c 6c 56 fa d3 61 49  9 e3 e6 76  0 cf 77 57 60 43 9d b5 f3 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:       29, T3:29, off= 5, ncc:1, bscc:7, info: 55 d5 cc 1d 90 4d 7e 8d 43 9f  3 96  d 3a 2a b9 d3 fd d2 7f 57 92 e5 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:       31, T3:31, off= 5, ncc:1, bscc:7, info: 3c  0 15  1 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:       35, T3:35, off= 5, ncc:1, bscc:7, info: 4d 9e 6e e9 42  c b4 34 4a fe 22 85 22 4d c9 3d 5c 6a 58 31  2 fe ff 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:       39, T3:39, off= 5, ncc:1, bscc:7, info: 6d fe e5 a1 2d 91 f0 58  b 2a 12 80 cc 21 6b 4b 69 c5 d1 9d cc ec cd 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:       41, T3:41, off= 5, ncc:1, bscc:7, info: 3c  0 3e  0 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:       45, T3:45, off= 5, ncc:1, bscc:7, info: 20  0 3d e7 56 57 ef 73 30 60 87 5f 2b 9f 71 e7 85 84 fd 69  f f3 8b 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:       49, T3:49, off= 9, ncc:1, bscc:7, info: 21  1 37 dc 34 36 23 cb d4 3c 22 c9 bb c6 b9  6 a1 f5 44 f8 8c 9f 44 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:       52, T3: 1, off= 5, ncc:1, bscc:7, info: 3c  0  0  0 
TAG: state:CCCH_SCAN, itype: BCCH    dB:-33, Hz:  -1, FN:       56, T3: 5, off= 5, ncc:1, bscc:7, info: 59  6 1a  0 80 20  8  2  0 80  0  0  0  0  0  0  0  2  0 ff  8  0  0 
TAG: state:FCCH_SCAN, itype: BCCHEXT dB:-33, Hz:  -1, FN:       60, T3: 9, off= 5, ncc:1, bscc:7, info: ae c3 dc fa 73 6b 58 ea b6 f7 a8 99 51 17 83 c5 35 7e c9  3  2 52 a1 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:       62, T3:11, off= 5, ncc:1, bscc:7, info: 3c  0 28  1 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:       66, T3:15, off= 5, ncc:1, bscc:7, info: ed cb 7b  5 a5 aa 9a b9  3 b2 c9 af 71 e8 73 c0 b2 41 47 25 77 ba 5f 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:       70, T3:19, off= 5, ncc:1, bscc:7, info: e6 e4 ab 74 dc 35 7e a3 2e 44 81 ce ba 2c 4b 37 9d 47 e4 41 b9 3c 2d 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:       72, T3:21, off= 5, ncc:1, bscc:7, info: 3c  0 51  0 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:       76, T3:25, off= 5, ncc:1, bscc:7, info: b3 fd 20 82  2 74 94  c 29 1d c0 f1 10 d3 fc f8 1b 6c 14  7 ec df 56 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:       80, T3:29, off= 5, ncc:1, bscc:7, info: fa 4c 33 c1 e0 ed f8 77 65 eb 88 5c fb b7 4a 88 aa 7a 33 2b 22 6b 62 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:       82, T3:31, off= 5, ncc:1, bscc:7, info: 3c  0 11  1 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:       86, T3:35, off= 5, ncc:1, bscc:7, info: ab 57 91 b6 2e 48 30 4e 60 af ed 77 56 c1 bd  6 b3 17 b9 c7 21  5 90 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:       90, T3:39, off= 5, ncc:1, bscc:7, info: 80 7b 9a 5f 67 b3 b4  2 4c 5b 2c 18 ba 98 93 70  3 32 21 fb ef  5 ea 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:       92, T3:41, off= 5, ncc:1, bscc:7, info: 3c  0 3a  0 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:       96, T3:45, off= 5, ncc:1, bscc:7, info: 22  2 81 76 88 28 80 1a 76 9b c9  a 4e 27 17 ec 74 fe 88 2a aa 80 ba 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      100, T3:49, off= 9, ncc:1, bscc:7, info: 23  3 8c 13 c9 cd 49 e9 b2 47 46 bc 17  6 dd aa df 8a a8  f 3c b8 75 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      103, T3: 1, off= 5, ncc:1, bscc:7, info: 3c  0 64  0 
TAG: state:CCCH_SCAN, itype: BCCH    dB:-33, Hz:  -1, FN:      107, T3: 5, off= 5, ncc:1, bscc:7, info: 49  6 1b  0  9  0 f1 10  0  1 c1  3  0 21 d3  7  8  0  0 2a 2b 2b 2b 
TAG: state:FCCH_SCAN, itype: BCCHEXT dB:-33, Hz:  -1, FN:      111, T3: 9, off= 5, ncc:1, bscc:7, info: 50 57 61  1 1d 4b 5f d1 c0 a6 44 30 a3 9a 59 f2 7c 51 29 64 73 2b 82 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      113, T3:11, off= 5, ncc:1, bscc:7, info: 3c  0 24  1 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      117, T3:15, off= 5, ncc:1, bscc:7, info:  0 4e 82 7f cf cc 84 43 45 c5 14 3f 47 c7 bf de 94 16 a6 7a 66 41 e0 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      121, T3:19, off= 5, ncc:1, bscc:7, info:  a 25 d8 be b0 15 98  5 28 19 4d 36 cc a1 19  c c5 2c 14  6 a8 45 8a 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      123, T3:21, off= 5, ncc:1, bscc:7, info: 3c  0 4d  0 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      127, T3:25, off= 5, ncc:1, bscc:7, info: 1c 64 db db 63 1c 42 36  f 6c 3d 29 64 5d de a3 7e  9 b5 28 ef 2e 6d 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      131, T3:29, off= 5, ncc:1, bscc:7, info: 16  9 db 3a 8e cf 94 40 2b ba ec ec 8d 9e d4 f6 6c  4  7 c4 21 92 4d 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      133, T3:31, off= 5, ncc:1, bscc:7, info: 3c  0  d  1 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      137, T3:35, off= 5, ncc:1, bscc:7, info: 66 45 64 4d 4c 62 46 e3 b6 df 84 eb a0 7a 17 19 cb 30 c0 aa 74 6c a7 
